City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Kahului,US,2021-10-04 18:14:13,20.8947,-156.47,80.62,75,20,17.27
141,Sitka,US,2021-10-04 18:14:14,57.0531,-135.33,42.69,75,20,3.44
142,Barrow,US,2021-10-04 18:14:08,71.2906,-156.7887,24.82,86,90,9.22
143,Makakilo City,US,2021-10-04 18:14:14,21.3469,-158.0858,79.12,70,1,4.61
144,Asgabat,TM,2021-10-04 18:09:36,37.95,58.3833,65.8,21,0,9.33
145,Pevek,RU,2021-10-04 18:14:15,69.7008,170.3133,26.13,87,99,11.5
146,Plymouth,US,2021-10-04 18:13:34,41.8334,-70.8328,61.16,89,90,3.0
147,Bredasdorp,ZA,2021-10-04 18:14:15,-34.5322,20.0403,55.27,82,0,14.7
148,Qandala,SO,2021-10-04 18:14:16,11.472,49.8728,88.0,68,52,3.18
149,Saskylakh,RU,2021-10-04 18:12:12,71.9167,114.0833,27.37,90,100,16.13
150,Avera,US,2021-10-04 18:14:16,33.194,-82.5271,82.9,51,83,8.43
151,Moss Vale,AU,2021-10-04 18:14:16,-34.55,150.3833,50.14,69,6,14.74
152,Necochea,AR,2021-10-04 18:14:17,-38.5473,-58.7368,66.04,48,0,7.52
153,Severo-Kurilsk,RU,2021-10-04 18:14:17,50.6789,156.125,44.46,87,28,9.6
154,Bambous Virieux,MU,2021-10-04 18:14:17,-20.3428,57.7575,71.22,81,41,9.08
155,Porto Velho,BR,2021-10-04 18:11:00,-8.7619,-63.9039,96.85,41,40,6.91
156,Te Anau,NZ,2021-10-04 18:14:18,-45.4167,167.7167,45.55,94,89,2.17
157,Mar Del Plata,AR,2021-10-04 18:14:18,-38.0023,-57.5575,64.0,62,20,3.0
158,East London,ZA,2021-10-04 18:14:19,-33.0153,27.9116,58.32,81,99,6.85
159,Faanui,PF,2021-10-04 18:14:19,-16.4833,-151.75,78.06,73,16,16.58
160,Awjilah,LY,2021-10-04 18:14:19,29.1081,21.2869,77.5,39,0,9.46
161,Narsaq,GL,2021-10-04 18:14:20,60.9167,-46.05,43.02,50,3,1.14
