City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Ostersund,SE,63.1792,14.6357,52.61,100,90,3.44,overcast clouds
149,Odesskoye,RU,54.2111,72.9651,38.12,68,5,12.15,clear sky
150,Tuatapere,NZ,-46.1333,167.6833,54.82,51,19,5.28,few clouds
151,Vanimo,PG,-2.6741,141.3028,85.95,70,99,8.1,overcast clouds
152,Port Elizabeth,ZA,-33.918,25.5701,59.09,74,82,14.34,broken clouds
153,Sakakah,SA,29.9697,40.2064,76.57,23,4,11.34,clear sky
154,Sawakin,SD,19.1059,37.3321,82.6,69,99,0.65,overcast clouds
155,Raudeberg,NO,61.9875,5.1352,58.19,93,100,4.0,overcast clouds
156,Lavrentiya,RU,65.5833,-171.0,35.15,84,100,18.37,overcast clouds
157,Padang,ID,-0.9492,100.3543,78.85,76,85,2.91,overcast clouds
158,Conde,BR,-7.2597,-34.9075,76.46,88,20,8.05,few clouds
159,Aguas Vermelhas,BR,-15.7472,-41.46,68.07,90,96,5.61,overcast clouds
160,Katsuura,JP,35.1333,140.3,80.19,80,93,11.7,overcast clouds
161,Beeville,US,28.4008,-97.7483,80.74,78,1,6.91,clear sky
162,Haysville,US,37.5645,-97.3523,82.72,53,1,3.44,clear sky
163,San Cristobal,VE,7.7669,-72.225,73.58,89,91,2.04,overcast clouds
164,Tabuny,RU,52.7773,78.7896,37.71,83,6,11.52,clear sky
165,Camacupa,AO,-12.0167,17.4833,67.51,51,67,2.71,broken clouds
166,Pimenta Bueno,BR,-11.6725,-61.1936,75.18,90,94,3.09,overcast clouds
167,Churapcha,RU,62.0025,132.4325,31.21,80,100,5.82,overcast clouds
168,Narsaq,GL,60.9167,-46.05,37.62,50,0,6.58,clear sky
169,Bongandanga,CD,1.5,21.05,70.07,97,100,1.81,overcast clouds
170,Bumba,CD,2.1833,22.4667,71.06,95,100,0.51,overcast clouds
171,Itarema,BR,-2.9248,-39.9167,79.27,81,84,14.0,broken clouds
172,San Patricio,US,28.017,-97.5169,81.28,63,5,7.52,clear sky
173,Kimbe,PG,-5.5502,150.1429,87.71,64,100,5.7,light rain
174,Thompson,CA,55.7435,-97.8558,41.16,70,20,0.0,few clouds
175,Concepcion Del Oro,MX,24.6333,-101.4167,68.41,28,0,5.82,clear sky
176,Codroipo,IT,45.96,12.9792,55.8,79,0,5.46,clear sky
177,Coihaique,CL,-45.5752,-72.0662,51.75,66,75,3.44,broken clouds
178,Kysyl-Syr,RU,63.8986,122.7617,33.4,95,100,8.55,overcast clouds
179,Chak Jhumra,PK,31.5678,73.1835,75.83,50,0,7.09,clear sky
180,Vangaindrano,MG,-23.35,47.6,66.56,77,100,5.48,overcast clouds
181,Victoria Point,AU,-27.5833,153.3,83.48,68,2,3.0,clear sky
182,Huaihua,CN,27.5494,109.9592,65.28,82,100,5.53,overcast clouds
183,Kiama,AU,-34.6833,150.8667,76.24,55,96,8.99,overcast clouds
184,Beringovskiy,RU,63.05,179.3167,32.9,98,100,15.26,snow
185,Asosa,ET,10.0667,34.5333,60.8,93,91,4.79,light rain
186,Mumbwa,ZM,-14.9783,27.0619,70.66,44,3,6.33,clear sky
187,Faya,SA,18.3851,42.4509,66.31,59,88,5.82,overcast clouds
188,Ancud,CL,-41.8697,-73.8203,48.42,89,0,2.53,clear sky
189,Kungurtug,RU,50.5994,97.5228,23.27,81,48,0.78,scattered clouds
190,Fort Nelson,CA,58.8053,-122.7002,53.19,35,75,5.75,broken clouds
191,Mar Del Plata,AR,-38.0023,-57.5575,55.13,65,0,5.99,clear sky
192,Saskylakh,RU,71.9167,114.0833,10.17,99,86,2.62,overcast clouds
193,Souillac,MU,-20.5167,57.5167,68.38,88,75,2.3,broken clouds
194,Jieshi,CN,22.8134,115.8257,77.95,88,100,26.98,light rain
