City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
160,Katsuura,JP,80.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
161,Beeville,US,80.74,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
162,Haysville,US,82.72,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
166,Pimenta Bueno,BR,75.18,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
171,Itarema,BR,79.27,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
172,San Patricio,US,81.28,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
173,Kimbe,PG,87.71,light rain,-5.5502,150.1429,Kimbe Bay Hotel
179,Chak Jhumra,PK,75.83,clear sky,31.5678,73.1835,Mian Rehan House
181,Victoria Point,AU,83.48,clear sky,-27.5833,153.3,Bay Retreat Motel
183,Kiama,AU,76.24,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
194,Jieshi,CN,77.95,light rain,22.8134,115.8257,Yuehai Hotel
196,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
198,Coolum Beach,AU,80.33,clear sky,-26.5333,153.1,Palmer Coolum Resort
215,Aden,YE,83.75,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
219,Faanui,PF,78.51,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
221,Kudahuvadhoo,MV,83.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
222,Aransas Pass,US,80.83,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
223,Fare,PF,78.26,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
225,Clarence Town,AU,85.06,clear sky,-32.5833,151.7833,River Downs Cottage
227,Lorengau,PG,85.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
231,Varzelandia,BR,75.34,moderate rain,-15.7014,-44.0275,Pousada Portal da Cidade
234,Chapar,IN,78.3,light rain,26.2667,90.4667,Julfi Home
237,Shingu,JP,77.99,broken clouds,33.7333,135.9833,Shingu UI Hotel
238,Fukue,JP,79.16,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
241,Naze,JP,81.52,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
242,Flinders,AU,77.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
244,Hervey Bay,AU,80.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
246,Victoria,HK,82.45,light rain,22.2855,114.1577,Mini Hotel Central
250,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
251,Tevaitoa,PF,78.24,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
253,Baillif,GP,80.64,broken clouds,16.0202,-61.7463,Hôtel Saint-Georges
254,Nortelandia,BR,75.96,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
258,Bowen,AU,80.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
265,Airai,TL,78.26,clear sky,-8.9266,125.4092,Juvinal Martin
269,Waingapu,ID,84.51,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
275,Dharmavaram,IN,75.47,overcast clouds,14.4333,77.7167,BALAJI LODGE
278,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
279,Basco,PH,83.21,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
287,Iranshahr,IR,77.34,clear sky,27.2025,60.6848,نیک سرشت
288,Tutoia,BR,79.88,scattered clouds,-2.7619,-42.2744,Pousada Guará's
289,Lodwar,KE,84.78,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
294,Chateaubelair,VC,79.41,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
297,Buala,SB,85.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
298,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
